Nome   ;sample name  ;Substance;tested date;published date ;location;
3502;White Caplet M367;Acetaminophen/Hydrocodone;Mar 03, 2015;Mar 03, 2015;San Diego, CA;
3503;Yellow UPS;MDMA;Mar 10, 2015;Mar 10, 2015;New York, NY;
3504;  Green Playboy;Methamphetamine/Caffeine/Ethylone;Mar 10, 2015;Mar 10, 2015;Austin, TX;
3508;White Triangular Tablet;Butyrfentanyl;Mar 10, 2015;Mar 10, 2015;Atlanta, GA;
3510;Gold Bar;MDMA;Mar 10, 2015;Mar 10, 2015;Tempe, AZ;
3511;Blue Tulips;TFMPP/Lidocaine;Mar 10, 2015;Mar 10, 2015;Oakland, CA;
3521;Yellow UPS;MDMA;Mar 23, 2015;Mar 23, 2015;Online, CA;
3527;Alprazolam Bar;Alprazolam;Mar 24, 2015;Mar 24, 2015;Online, MO;
3534;ALP Anastrozole;Acetaminophen;Mar 24, 2015;Mar 24, 2015;Santa Clarita, CA;
3537;Super P-Force;Sildenafil/Desmethylprodine;Mar 25, 2015;Mar 25, 2015;Online, CA;
3548;Bugatti;MDMA;Mar 25, 2015;Mar 25, 2015;Yakima, WA;
3551;Hydrocodone 3601;Hydrocodone/Acetaminophen;Mar 30, 2015;Mar 30, 2015;Canton, OH;
3552;Bluegreen Ecstasy Tablet;2C-B;Mar 30, 2015;Mar 30, 2015;Arcata, CA;
3558;Tesla;MDMA;Apr 06, 2015;Apr 06, 2015;Unknown;
3565;Proviron;Mesterolone;Apr 17, 2015;Apr 17, 2015;New York, NY;
3566;Stanzolol;Stanozolol;Apr 17, 2015;Apr 17, 2015;New York, NY;
3567;Letrozole;Letrozole;Apr 17, 2015;Apr 17, 2015;New York, NY;
3568;Generic Viagra;Sildenafil/Tadalafil;Apr 18, 2015;Apr 18, 2015;New York, NY;
3569;Clomid;Clomifene;Apr 21, 2015;Apr 21, 2015;New York, NY;
3570;Orange Bull;Methamphetamine/Caffeine/Ethylone;Apr 21, 2015;Apr 21, 2015;Austin, TX;
3571;Armidex;Anastrozole;Apr 21, 2015;Apr 21, 2015;London, England, United Kingdom;
3584;Green Android;MDMA;Apr 29, 2015;Apr 29, 2015;St. Louis, MO;
3589;Orange Tesla;MDMA;May 05, 2015;May 05, 2015;Online, CA;
3594;Blue Givenchy;MDMA/Methylone;May 05, 2015;May 05, 2015;San Francisco, CA;
3596;Yellow American Eagle;MDMA;May 05, 2015;May 05, 2015;San Diego, CA;
3599;ALP Tablet;Oxandrolone;May 05, 2015;May 05, 2015;Tampa, FL;
3613;Green Eagles;Caffeine/MDA;May 15, 2015;May 15, 2015;Seattle, WA;
3614;Red Paul Frank;MDA/Caffeine;May 15, 2015;May 15, 2015;Seattle, WA;
